VCC,TARGTYPE,GCSAT,HOST,RA,DEC,VHEL,VERR,VERR_pe,VERR_ne,ZCONF,VOBS,VOBS_pe,VOBS_ne,ABANDCOR,ABANDCOR_pe,ABANDCOR_ne,HELCOR,SN,KECKID,MASKNAME,SLITNUM,ZSPECNUM,ZQUAL,YLOW,YHIGH,SPEC1DNAME,Type,Probability,Nucleus
---,ALG,N,---,187.00970458984375,10.359333038330078,54.567848205566406,2.5169947147369385,1.2761083841323853,1.2873586416244507,1.0,117.61136627197266,0.21014536917209625,0.21014536917209625,48.44351577758789,0.14009691774845123,0.22015230357646942,14.600000381469727,196.02999877929688,alg42,vdgc1,0,0,-1,15,21,spec1d.vdgc1.000.alg42.fits,Star,0.9815727472305298,0
---,GCN,N,---,190.278076171875,11.347694396972656,188.05902099609375,3.707561492919922,3.043897867202759,2.9746830463409424,1.0,176.13185119628906,2.5017306804656982,2.481717109680176,-24.82717514038086,1.2008306980133057,1.0607337951660156,12.899999618530273,16.65999984741211,gcN188,vdgc8,42,51,4,4,10,spec1d.vdgc1.001.alg115.fits,Star,0.9456380605697632,0
---,GCN,N,---,190.29583740234375,11.295389175415039,61.98180389404297,2.5828428268432617,1.3721165657043457,1.4436005353927612,1.0,46.82239532470703,0.5003461241722107,0.6504499912261963,-28.059412002563477,0.2601799964904785,0.310214638710022,12.899999618530273,60.5099983215332,gcN168,vdgc8,40,48,4,200,205,spec1d.vdgc1.002.alg140.fits,Star,0.9810741543769836,0
---,GCN,N,---,190.2601318359375,11.257055282592773,1412.15576171875,7.218932151794434,6.128886699676514,7.670063018798828,1.0,1400.558837890625,5.123544692993164,5.944112300872803,-24.4969482421875,3.122159957885742,4.683239936828613,12.899999618530273,6.760000228881836,gcN150,vdgc8,38,44,4,72,78,spec1d.vdgc1.003.alg164.fits,ICGC,1.0,0
---,GCN,N,---,190.31033325195312,11.256194114685059,553.4617919921875,4.642958641052246,4.511668682098389,3.7755417823791504,1.0,539.7734375,4.21291446685791,3.1021461486816406,-26.588394165039062,1.0207061767578125,1.7512115240097046,12.899999618530273,15.380000114440918,gcN149,vdgc8,37,41,4,125,131,spec1d.vdgc1.004.alg177.fits,ICGC,0.9991095662117004,0
---,GCN,N,---,190.2969512939453,11.242444038391113,217.6494903564453,7.360574722290039,6.507693767547607,7.564399719238281,1.0,212.5370330810547,6.03417444229126,7.124929428100586,-18.012460708618164,2.091446876525879,2.2115299701690674,12.899999618530273,5.840000152587891,gcN141,vdgc8,36,40,4,19,25,spec1d.vdgc1.005.alg191.fits,Star,0.9189153909683228,0
---,GCN,N,---,190.2721710205078,11.235722541809082,687.124267578125,6.717187404632568,4.529522895812988,8.342857360839844,1.0,673.9462280273438,3.1621875762939453,7.425136566162109,-26.078041076660156,2.992069959640503,3.5924854278564453,12.899999618530273,5.360000133514404,gcN136,vdgc8,35,39,1,21,27,spec1d.vdgc1.006.alg194.fits,ICGC,0.9999980330467224,0
---,GCN,N,---,190.2782440185547,11.225138664245605,4.381955623626709,2.95776104927063,1.9460570812225342,2.08252215385437,1.0,-6.18427848815918,1.3509345054626465,1.5010384321212769,-23.46623420715332,0.6304361820220947,0.7204984426498413,12.899999618530273,29.780000686645508,gcN130,vdgc8,34,38,4,29,35,spec1d.vdgc1.007.nuc5.fits,Star,0.9828998446464539,0
---,GCN,N,---,190.27041625976562,11.2206392288208,-113.08930969238281,4.079585552215576,3.6248135566711426,3.3063910007476807,1.0,-119.50267028808594,2.9520421028137207,2.851973056793213,-19.3133602142334,1.6911699771881104,1.110768437385559,12.899999618530273,15.270000457763672,gcN126,vdgc8,33,37,4,25,30,spec1d.vdgc1.008.nuc6.fits,Star,0.9704931974411011,0
---,GCN,N,---,190.27975463867188,11.219416618347168,260.3390197753906,5.971261978149414,6.119607925415039,5.016353607177734,1.0,251.97430419921875,5.673925399780273,4.683239936828613,-21.264711380004883,1.9213292598724365,1.2908930778503418,12.899999618530273,10.569999694824219,gcN123,vdgc8,32,35,4,12,17,spec1d.vdgc1.009.nuc7.fits,Star,0.8447699546813965,0
