SPEC1DNAME,OBJ_TYPE,ABANDCOR,ABANDCOR_ne,ABANDCOR_pe,DEC,GCSAT,HELCOR,HOST,KECKID,MASKNAME,NUCLEUS,RA,SLITNUM,SN,TARGTYPE,TYPE_PROBABILITY,VCC,VERR,VERR_ne,VERR_pe,VHEL,VOBS,VOBS_ne,VOBS_pe,YHIGH,YLOW,ZCONF,ZQUAL,ZSPECNUM
spec1d.vdgc1.007.nuc5.fits.gz,dE Nuc,-0.5599991602448426,0.7799987974758551,0.5299991802785371,10.297639,N,14.589877909980714,---,nuc5,vdgc1,1,187.05128,7,28.58,NUC,1.0,VCC1075,2.9157330688467478,1.9386821466468973,1.9791382333933143,1810.487338937819,1824.5171529650686,1.2599981361126993,1.4399978114161058,37,30,1.0,4,7
spec1d.vdgc1.009.nuc7.fits.gz,dE Nuc,7.3799884597247,0.7399988696306536,0.8099987433597562,10.526055,N,14.589877909980714,---,nuc7,vdgc1,1,187.05345,9,27.06,NUC,1.0,VCC1076,3.8805674939940222,3.5142656251555313,2.9358940380479908,1647.8476492241025,1669.8174397945404,3.1999950455938238,2.5299960496922718,26,20,1.0,4,9
spec1d.vdgc1.008.nuc6.fits.gz,dE Nuc,0.23999963523601764,0.7299988876693533,0.6299990680563496,10.365333999999999,N,14.589877909980714,---,nuc6,vdgc1,1,187.05008,8,32.52,NUC,1.0,VCC1079,3.0165207373211165,2.1135246088379063,2.0885130318347365,1333.268028959632,1348.0978993475435,1.5399976310291097,1.5499976811552187,25,19,1.0,4,8
spec1d.vdgc2.008.nuc7.fits.gz,dE Nuc,1.5599975949517102,4.959992688760393,4.059993903254508,11.972667,N,13.990293707000092,---,nuc7,vdgc2,1,187.98488,8,7.83,NUC,1.0,VCC1396,7.466587759554386,7.621445117751137,6.675961591216037,1424.0375012904403,1439.5878551676872,5.649991239595692,5.149992005201057,37,31,1.0,4,8
spec1d.vdgc2.006.nuc5.fits.gz,dE Nuc,1.0599983605570742,0.8599986531662579,0.7899987794371555,11.890083,N,13.990293707000092,---,nuc5,vdgc2,1,188.01141,6,28.53,NUC,1.0,VCC1407,2.8708230934862518,1.862388138957613,1.910677589214174,1012.13816536963,1027.188396770507,1.079998324479675,1.2099981581413886,22,14,1.0,4,6
spec1d.vdgc2.007.nuc6.fits.gz,dE Nuc,31.82995123974979,0.7799987974758551,0.7899987794371555,12.061528,N,13.990293707000092,---,nuc6,vdgc2,1,188.051,7,27.72,NUC,1.0,VCC1420,2.9118893916020174,1.9129267552489184,1.9821674775012066,944.8682371601461,990.6884602941573,1.21999807193788,1.3199980278805017,59,51,1.0,4,7
spec1d.vdgc3.007.nuc5.fits.gz,dE Nuc,-8.159987461694982,3.729994430366787,4.529992987270816,9.397333,N,13.89036191586638,---,nuc5,vdgc3,0,188.30595,7,5.92,NUC,1.0,VCC1488,10.634010114881676,9.293629309511743,11.530996833811518,1073.9779431186616,1079.708376467228,8.419987129018411,10.529984072665682,25,13,1.0,4,7
spec1d.vdgc4B.059.nuc8.fits.gz,dE Nuc,3.0799952620582185,0.7199989057080529,0.7799987974758551,12.857805,N,13.49064020451624,---,nuc8,vdgc4B,1,188.30838,59,42.69,NUC,1.0,VCC1491,2.798673915167456,1.7272494966819067,1.8209309838275656,1991.6162739098072,2008.1869753599167,0.9499985589827702,1.0699983425183746,80,67,1.0,4,69
spec1d.vdgc4B.058.nuc6.fits.gz,dE Nuc,2.0799967932689465,0.5299991802785371,0.42999932658312895,12.853444,N,13.49064020451624,---,nuc6,vdgc4B,0:,188.33241,58,50.99,NUC,1.0,VCC1499,2.765280520601664,1.6570731442625402,1.7920630509252078,-523.0298657063395,-507.4592347070575,0.9499985589827702,1.2099981581413886,28,5,1.0,4,68
spec1d.vdgc3.008.nuc6.fits.gz,dE Nuc,-6.9299894759606095,0.9899984868279716,0.9299985950601696,9.459222,N,13.89036191586638,---,nuc6,vdgc3,1,188.38179,8,29.08,NUC,1.0,VCC1509,3.0645834714232483,2.2873966768092937,2.054990805780108,806.5683531686664,813.5287457853557,1.639997450642113,1.3399979918031022,52,44,1.0,4,8
