,SPEC1DNAME,ABANDCOR,ABANDCOR_ne,ABANDCOR_pe,VOBS,VOBS_ne,VOBS_pe
0,spec1d.vdgc1.011.gcA10.fits.gz,78.81452,23.015923,25.247467,1810.4825,5.403738,7.014853
1,spec1d.vdgc1.012.gcA17.fits.gz,-2.181509,8.245705,6.884763,1855.5137,6.2042923,6.974825
2,spec1d.vdgc1.014.gcA19.fits.gz,4.5231295,1.9613569,2.8920007,1821.8304,6.584555,3.3122916
3,spec1d.vdgc1.015.gcA20.fits.gz,370.1761,59.210964,67.03638,1875.8278,0.23015922,0.69047767
4,spec1d.vdgc1.026.gcN120.fits.gz,-4.763295,5.98414,4.1028385,1333.0521,9.956888,12.498647
5,spec1d.vdgc1.027.gcN138.fits.gz,16.761597,10.467241,10.147019,1369.9778,7.795393,9.316445
6,spec1d.vdgc1.029.gcN145.fits.gz,1.8112531,7.5852475,8.415822,1330.3203,7.475171,7.775379
7,spec1d.vdgc1.030.gcN147.fits.gz,3.082132,2.1114607,1.5010384,1376.2621,4.2029076,7.945497
8,spec1d.vdgc1.037.gcN206.fits.gz,4.4730945,3.38234,3.4223676,1669.485,10.317138,10.947573
9,spec1d.vdgc1.038.gcN210.fits.gz,-17.882372,13.409277,13.359242,1670.9459,13.409277,15.350619
10,spec1d.vdgc2.010.gcA10.fits.gz,-13.799546,4.6231985,2.6118069,1089.4836,6.594562,6.1742716
11,spec1d.vdgc2.011.gcA11.fits.gz,4.593178,3.77261,4.242935,1037.5577,7.8254137,7.735351
12,spec1d.vdgc2.013.gcA15.fits.gz,-2.1414814,3.3423123,3.2622569,1052.0979,8.115615,9.946881
13,spec1d.vdgc2.015.gcA17.fits.gz,-3.362326,41.16848,23.40619,1121.636,14.550066,32.0922
14,spec1d.vdgc2.017.gcA27.fits.gz,-0.24016616,7.705331,3.9327207,1038.6686,10.717415,26.418276
15,spec1d.vdgc2.029.gcN183.fits.gz,7.255019,2.0314054,3.38234,1323.9259,3.7325823,2.8920007
16,spec1d.vdgc2.035.gcN244.fits.gz,-8.956196,4.152873,4.3530116,1242.1593,4.1228523,5.6338973
17,spec1d.vdgc2.036.gcN253.fits.gz,-18.01246,4.42306,3.2022152,1506.7323,6.76468,4.2029076
18,spec1d.vdgc2.051.gcN395.fits.gz,40.177795,16.251244,13.009,1120.8954,10.417207,10.937566
19,spec1d.vdgc3.009.gcA8.fits.gz,27.048712,4.8633647,4.0728173,1026.7704,8.155642,8.836113
20,spec1d.vdgc3.010.gcA9.fits.gz,-1.7912391,6.0541883,6.9147835,1021.76685,41.218513,57.279625
21,spec1d.vdgc3.011.gcA10.fits.gz,18.142551,7.635282,6.774687,1124.1577,6.3143682,7.275033
22,spec1d.vdgc3.034.gcN103.fits.gz,-6.594562,7.355088,9.676694,859.3545,7.6753097,5.7239594
23,spec1d.vdgc4B.006.gcA12.fits.gz,-2.9320285,4.0828247,5.7239594,1537.3835,8.005538,8.97621
24,spec1d.vdgc4B.007.gcA21.fits.gz,-19.273333,17.53213,11.638051,1601.1477,0.0,10.847505
25,spec1d.vdgc4B.008.gcA24.fits.gz,-15.420669,5.433759,7.05488,1517.8801,0.0,4.5831704
26,spec1d.vdgc4B.009.gcA25.fits.gz,4.3530116,4.3830323,6.2243056,1514.2175,5.5238214,4.002769
27,spec1d.vdgc4B.010.gcA29.fits.gz,15.150481,7.705331,6.9448047,-494.69223,9.106299,9.476556
28,spec1d.vdgc5.005.serendip1.fits.gz,24.637043,4.7532883,4.913399,1912.5232,0.39027,5.4237523
29,spec1d.vdgc5.006.gcA13.fits.gz,34.293724,17.912392,20.68431,1535.7925,8.135628,5.834036
30,spec1d.vdgc5.006.serendip1.fits.gz,-48.353455,1.4409969,1.3309207,1543.3378,5.2936625,4.5731635
31,spec1d.vdgc5.007.gcA16.fits.gz,-14.850273,2.0314054,2.201523,1497.8362,1.9713638,0.8405815
32,spec1d.vdgc5.008.gcA19.fits.gz,-29.030085,2.3516269,2.6618414,1546.67,16.94172,19.503492
33,spec1d.vdgc5.009.serendip1.fits.gz,1.6111146,23.7064,44.94109,1516.0488,16.211216,38.576687
34,spec1d.vdgc5.011.gcA30.fits.gz,-14.6001005,7.7553654,8.776072,1497.2657,11.668072,11.417899
35,spec1d.vdgc5.031.gcN199.fits.gz,14.319906,3.8826861,5.433759,1884.0435,10.267102,7.2049847
