 [0.0, 'spec1d.vdgc1.058.mst501.fits.pdf'],
 [1.0, 'spec1d.vdgc3.027.gcN81.fits.pdf'],
 [0.5, 'spec1d.vdgc4B.020.gcN108.fits.pdf'],
 [1.0, 'spec1d.vdgc6.026.gcN166.fits.pdf'],
 [0.5, 'spec1d.vdgc2.050.gcN387.fits.pdf'],
 [1.0, 'spec1d.vdgc3.029.gcN92.fits.pdf'],
 [1.0, 'spec1d.vdgc4B.021.gcN122.fits.pdf'],
 [1.0, 'spec1d.vdgc6.027.gcN167.fits.pdf'],
 [0.5, 'spec1d.vdgc2.052.gcN407.fits.pdf'],
 [0.0, 'spec1d.vdgc3.030.gcN94.fits.pdf'],
 [0.5, 'spec1d.vdgc4B.022.gcN124.fits.pdf'],
 [1.0, 'spec1d.vdgc6.028.gcN168.fits.pdf'],
 [1.0, 'spec1d.vdgc2.053.gcN421.fits.pdf'],
 [1.0, 'spec1d.vdgc3.031.gcN95.fits.pdf'],
 [1.0, 'spec1d.vdgc4B.024.gcN135.fits.pdf'],
 [0.5, 'spec1d.vdgc6.030.gcN171.fits.pdf'],
 [1.0, 'spec1d.vdgc2.054.gcN446.fits.pdf'],
 [0.0, 'spec1d.vdgc3.034.gcN103.fits.pdf'],
 [0.5, 'spec1d.vdgc4B.027.gcN141.fits.pdf'],
 [1.0, 'spec1d.vdgc6.033.gcN183.fits.pdf'],
 [0.5, 'spec1d.vdgc2.055.gcN449.fits.pdf'],
 [1.0, 'spec1d.vdgc3.036.gcN107.fits.pdf'],
 [1.0, 'spec1d.vdgc4B.028.gcN157.fits.pdf'],
 [1.0, 'spec1d.vdgc6.035.gcN187.fits.pdf'],
 [1.0, 'spec1d.vdgc2.057.gcN474.fits.pdf'],
 [1.0, 'spec1d.vdgc3.037.gcN111.fits.pdf'],
 [-1.0, 'spec1d.vdgc4B.030.vir301.fits.pdf'],
 [1.0, 'spec1d.vdgc6.036.gcN188.fits.pdf'],
 [1.0, 'spec1d.vdgc2.058.vir679.fits.pdf'],
 [0.5, 'spec1d.vdgc3.038.gcN118.fits.pdf'],
 [0.5, 'spec1d.vdgc5.035.gcN270.fits.pdf'],
 [1.0, 'spec1d.vdgc6.037.gcN189.fits.pdf'],
 [1.0, 'spec1d.vdgc2.059.vir680.fits.pdf'],
 [0.0, 'spec1d.vdgc3.039.gcN121.fits.pdf'],
 [1.0, 'spec1d.vdgc5.036.vir275.fits.pdf'], 
 [1.0, 'spec1d.vdgc6.038.gcN190.fits.pdf'],
 [1.0, 'spec1d.vdgc2.061.vir690.fits.pdf'],
 [1.0, 'spec1d.vdgc3.040.vir203.fits.pdf'],
 [1.0, 'spec1d.vdgc5.038.vir311.fits.pdf'],
 [1.0, 'spec1d.vdgc6.039.gcN192.fits.pdf'],
 [1.0, 'spec1d.vdgc2.062.sgr734.fits.pdf'],
 [0.5, 'spec1d.vdgc3.042.sgr264.fits.pdf'],
 [0.0, 'spec1d.vdgc5.041.serendip1.fits.pdf'],
 [1.0, 'spec1d.vdgc6.041.serendip1.fits.pdf'],
 [0.0, 'spec1d.vdgc2.063.sgr739.fits.pdf'],
 [1.0, 'spec1d.vdgc3.044.sgr271.fits.pdf'],
 [1.0, 'spec1d.vdgc5.041.sgr337.fits.pdf'],
 [1.0, 'spec1d.vdgc6.042.gcN205.fits.pdf'],
 [1.0, 'spec1d.vdgc2.064.sgr747.fits.pdf'],
 [1.0, 'spec1d.vdgc3.045.sgr273.fits.pdf'],
 [0.0, 'spec1d.vdgc5.042.mst436.fits.pdf'],
 [1.0, 'spec1d.vdgc6.043.gcN216.fits.pdf'],
 [0.0, 'spec1d.vdgc2.065.sgr752.fits.pdf'],
 [1.0, 'spec1d.vdgc3.046.sgr277.fits.pdf'],
 [0.0, 'spec1d.vdgc5.042.serendip1.fits.pdf'],
 [1.0, 'spec1d.vdgc6.044.gcN220.fits.pdf'],
 [0.0, 'spec1d.vdgc2.066.sgr764.fits.pdf'],
 [1.0, 'spec1d.vdgc3.047.sgr284.fits.pdf'],
 [0.0, 'spec1d.vdgc5.043.mst439.fits.pdf'],
 [0.5, 'spec1d.vdgc6.044.serendip1.fits.pdf'],
 [1.0, 'spec1d.vdgc2.069.sgr779.fits.pdf'],
 [1.0, 'spec1d.vdgc3.048.sgr292.fits.pdf'],
 [1.0, 'spec1d.vdgc5.044.mst443.fits.pdf'],
 [1.0, 'spec1d.vdgc6.045.gcN221.fits.pdf'],
 [1.0, 'spec1d.vdgc2.072.sgr797.fits.pdf'],
 [1.0, 'spec1d.vdgc3.049.sgr294.fits.pdf'],
 [0.0, 'spec1d.vdgc5.046.mst504.fits.pdf'],
 [1.0, 'spec1d.vdgc6.046.gcN223.fits.pdf'],
 [0.0, 'spec1d.vdgc2.073.sgr800.fits.pdf'],
 [1.0, 'spec1d.vdgc3.050.sgr298.fits.pdf'],
 [-1.0, 'spec1d.vdgc5.048.mst513.fits.pdf']
