#SPEC1DNAME,S/N,V,V_MC,Vpe,Vne,S,S_MC,Spe,Sne
#SPEC1DNAME,S/N,V,V_MC,Vpe,Vne,S,S_MC,Spe,Sne
#SPEC1DNAME,S/N,V,V_MC,Vpe,Vne,S,S_MC,Spe,Sne
spec1d.vdgc1.000.alg42.fits.gz,192.6,111.9,111.92,0.54,0.6,21.27,21.94,1.0,1.94
spec1d.vdgc1.001.alg115.fits.gz,55.9,-157.93,-158.52,3.63,4.24,22.13,23.74,7.0,9.53
spec1d.vdgc1.002.alg140.fits.gz,41.97,33.29,31.86,4.2,3.47,78.46,77.46,4.0,5.4
spec1d.vdgc1.003.alg164.fits.gz,82.91,55.1,55.3,2.41,2.49,211.48,212.97,3.0,2.21
spec1d.vdgc1.004.alg177.fits.gz,92.5,-165.18,-165.92,2.62,3.68,391.82,392.52,3.0,1.93
spec1d.vdgc1.005.alg191.fits.gz,218.86,-2.84,-3.0,0.66,0.61,147.9,148.39,1.0,0.57
spec1d.vdgc1.006.alg194.fits.gz,70.38,-140.83,-140.81,2.89,3.87,295.64,296.48,5.0,3.02
spec1d.vdgc1.007.nuc5.fits.gz,27.71,1842.74,1842.31,2.95,3.83,44.67,43.23,6.0,5.88
spec1d.vdgc1.008.nuc6.fits.gz,32.19,1385.37,1385.55,2.42,2.81,19.63,17.89,8.0,6.79
spec1d.vdgc1.009.nuc7.fits.gz,26.75,1687.26,1687.14,2.85,3.4,0.29,0.29,0.0,0.0
spec1d.vdgc1.009.serendip1.fits.gz,0.78,1734.3,1743.73,127.32,91.73,140.03,74.32,93.0,74.03
spec1d.vdgc1.010.gcA9.fits.gz,0.03,1842.8,1841.29,56.68,186.11,0.29,23.86,902.0,23.57
spec1d.vdgc1.011.gcA10.fits.gz,3.37,1740.72,1740.35,10.57,15.96,0.29,0.29,22.0,0.0
spec1d.vdgc1.012.gcA17.fits.gz,5.24,1855.54,1856.44,49.58,36.07,94.51,93.85,28.0,43.26
spec1d.vdgc1.013.gcA18.fits.gz,3.47,252174.89,252175.17,0.01,0.09,86.16,86.47,0.0,0.11
spec1d.vdgc1.014.gcA19.fits.gz,6.85,1814.16,1816.74,29.54,45.68,81.76,67.45,104.0,67.16
spec1d.vdgc1.015.gcA20.fits.gz,2.76,1627.19,1607.8,41.73,62.38,161.49,150.05,40.0,77.96
spec1d.vdgc1.016.gcA22.fits.gz,3.31,1844.49,1836.01,56.04,57.78,99.78,71.06,35.0,55.71
spec1d.vdgc1.017.gcA23.fits.gz,1.36,160348.82,161812.79,7.63,5.36,1000.0,208.71,5.0,5.18
spec1d.vdgc1.018.gcA24.fits.gz,3.19,153358.2,153348.9,16.48,20.18,120.84,93.01,21.0,12.74
spec1d.vdgc1.018.serendip1.fits.gz,0.13,-486.8,-499.39,123.7,103.03,55.41,0.29,97.0,0.0
spec1d.vdgc1.018.serendip2.fits.gz,0.11,-619.76,-628.57,84.91,109.16,31.76,17.11,77.0,16.83
spec1d.vdgc1.019.gcA27.fits.gz,1.46,203906.1,203906.1,0.0,0.0,86.08,86.08,0.0,5.93
spec1d.vdgc1.020.gcN82.fits.gz,20.21,361.1,360.82,4.4,3.95,21.17,23.3,9.0,9.34
spec1d.vdgc1.021.gcN86.fits.gz,2.63,65777.89,67089.8,177.93,1200.36,537.72,1000.0,0.0,448.14
spec1d.vdgc1.022.gcN87.fits.gz,5.51,43.0,47.94,20.56,32.65,78.71,70.58,45.0,30.33
spec1d.vdgc1.023.gcN95.fits.gz,71.09,107.16,107.25,1.45,1.37,38.97,38.86,2.0,1.77
spec1d.vdgc1.025.serendip1.fits.gz,0.43,286368.36,286427.94,565.63,529.42,1000.0,1000.0,0.0,31.48
spec1d.vdgc1.025.serendip2.fits.gz,0.32,246823.27,246823.2,16.05,15.94,0.29,0.29,0.0,0.0
spec1d.vdgc1.026.gcN120.fits.gz,6.27,1401.28,1402.33,16.57,17.25,27.77,23.09,21.0,22.81
spec1d.vdgc1.027.gcN138.fits.gz,6.85,1381.6,1380.99,8.86,11.49,15.39,14.84,24.0,14.55
spec1d.vdgc1.028.gcN143.fits.gz,3.7,-65.8,-65.43,28.13,29.1,46.41,29.52,45.0,29.23
spec1d.vdgc1.029.gcN145.fits.gz,4.81,1356.04,1357.37,26.46,17.45,30.53,32.36,20.0,32.07
spec1d.vdgc1.030.gcN147.fits.gz,6.87,1398.87,1398.92,8.21,12.41,0.29,0.29,54.0,0.0
spec1d.vdgc1.030.serendip1.fits.gz,0.4,-655.37,-659.94,74.93,95.98,121.96,127.08,77.0,86.83
spec1d.vdgc1.031.gcN177.fits.gz,5.98,229.88,233.49,28.98,28.45,66.64,51.79,44.0,51.51
spec1d.vdgc1.032.gcN185.fits.gz,26.91,67.61,67.68,3.0,3.14,0.29,0.29,6.0,0.0
spec1d.vdgc1.033.gcN186.fits.gz,9.27,243.23,243.15,6.65,7.6,0.29,0.29,14.0,0.0
spec1d.vdgc1.034.gcN189.fits.gz,5.86,1418.9,1418.67,13.43,12.41,0.29,0.29,0.0,0.0
spec1d.vdgc1.035.gcN190.fits.gz,14.63,156.05,156.96,6.46,9.84,16.59,12.13,14.0,11.84
spec1d.vdgc1.035.serendip1.fits.gz,0.22,214.73,256.72,1140.99,1982.97,1000.0,799.56,200.0,628.39
spec1d.vdgc1.036.gcN195.fits.gz,9.96,1449.56,1448.32,8.52,11.12,15.37,0.66,18.0,0.37
spec1d.vdgc1.037.gcN206.fits.gz,6.88,1710.31,1703.19,20.91,16.41,31.64,10.14,34.0,9.85
spec1d.vdgc1.037.serendip1.fits.gz,1.28,155711.61,155732.35,214.68,98.69,692.47,628.95,120.0,103.36
spec1d.vdgc1.038.gcN210.fits.gz,2.87,1686.71,1691.49,35.02,25.65,34.19,18.35,47.0,18.06
spec1d.vdgc1.039.gcN211.fits.gz,3.69,203.28,204.83,30.49,14.5,0.29,0.29,138.0,0.0
spec1d.vdgc1.040.gcN213.fits.gz,2.85,68756.79,68760.59,56.44,41.22,388.11,406.64,58.0,71.69
spec1d.vdgc1.040.serendip1.fits.gz,37.1,190.03,189.48,2.46,1.88,25.85,26.4,4.0,4.74
spec1d.vdgc1.041.gcN214.fits.gz,3.59,57.33,51.87,20.53,20.68,32.33,5.75,38.0,5.47
spec1d.vdgc1.042.vir269.fits.gz,24.09,-38.35,-38.67,4.25,4.27,0.29,0.29,7.0,0.0
spec1d.vdgc1.043.vir275.fits.gz,60.65,239.81,240.18,1.6,2.55,10.34,9.8,4.0,2.72
spec1d.vdgc1.044.vir289.fits.gz,47.56,231.96,232.07,2.44,0.84,0.29,0.29,9.0,0.0
spec1d.vdgc1.045.sgr378.fits.gz,5.96,55.21,52.06,25.87,22.88,82.57,74.34,23.0,37.7
spec1d.vdgc1.046.serendip1.fits.gz,0.35,77805.52,77773.39,633.09,568.19,1000.0,979.73,20.0,669.24
spec1d.vdgc1.046.sgr388.fits.gz,7.28,-7.34,-8.7,9.29,8.35,2.17,0.29,24.0,0.0
spec1d.vdgc1.047.sgr401.fits.gz,5.29,79.88,79.75,17.55,12.26,11.96,0.29,26.0,0.0
spec1d.vdgc1.048.sgr408.fits.gz,7.72,59.96,59.5,4.0,2.91,1.71,36.25,23.0,35.17
spec1d.vdgc1.049.serendip1.fits.gz,0.61,212072.93,212069.8,28.63,26.51,47.39,29.02,27.0,28.73
spec1d.vdgc1.049.sgr412.fits.gz,11.0,77.37,77.14,6.31,7.9,0.29,0.29,28.0,0.0
spec1d.vdgc1.050.serendip1.fits.gz,0.47,212083.6,212084.06,17.53,26.55,0.29,0.29,350.0,0.0
spec1d.vdgc1.050.sgr414.fits.gz,6.94,2.42,2.71,13.94,8.63,0.29,0.29,21.0,0.0
spec1d.vdgc1.051.sgr417.fits.gz,5.77,101.29,102.57,41.12,32.35,86.6,69.01,39.0,64.8
spec1d.vdgc1.052.serendip1.fits.gz,0.31,168555.62,168589.88,651.41,422.77,953.72,777.94,222.0,573.99
spec1d.vdgc1.052.serendip2.fits.gz,1.61,229006.07,229006.07,0.19,0.22,86.43,86.43,0.0,0.1
spec1d.vdgc1.052.sgr425.fits.gz,3.86,1.55,2.41,34.94,16.54,0.29,13.2,77.0,12.91
spec1d.vdgc1.053.sgr426.fits.gz,5.68,10.95,12.04,18.02,19.24,27.02,12.64,41.0,12.35
spec1d.vdgc1.054.sgr433.fits.gz,14.74,239.24,240.47,7.75,7.74,55.82,50.04,18.0,49.75
spec1d.vdgc1.055.mst485.fits.gz,0.68,121322.89,121323.01,27.17,44.22,89.5,77.87,29.0,44.03
spec1d.vdgc1.055.serendip1.fits.gz,4.81,124606.05,124613.91,161.29,39.21,62.31,43.61,75.0,43.33
spec1d.vdgc1.056.mst488.fits.gz,2.43,-124.72,-126.84,11.78,29.33,0.29,0.29,60.0,0.0
spec1d.vdgc1.057.serendip1.fits.gz,0.21,270549.73,268549.73,0.0,0.0,256.53,1000.0,0.0,0.0
spec1d.vdgc1.058.mst501.fits.gz,2.54,744.79,753.43,24.02,19.23,0.29,0.29,26.0,0.0
